rezago,rezago_vivienda,viviendas_cv,cve_ent,entidad
En rezago,5.07831284806439,0.0981513377848757,01,Aguascalientes
En rezago,50.8730265560876,0.0428881481675633,02,Baja California
En rezago,23.4536344728512,0.0691139028287204,03,Baja California Sur
En rezago,44.6009243674877,0.0339970000463604,04,Campeche
En rezago,13.5889465939369,0.0538396596433511,05,Coahuila
En rezago,26.1040806067357,0.0512317389647703,06,Colima
En rezago,70.8859988006591,0.0205992088947941,07,Chiapas
En rezago,36.466135633499,0.0362817422607687,08,Chihuahua
En rezago,7.31472438613037,0.0829216517375996,09,Distrito Federal
En rezago,14.5793149866263,0.0804517725049745,10,Durango
En rezago,14.6173762999925,0.0508292288029477,11,Guanajuato
En rezago,52.5496129796196,0.034891884184455,12,Guerrero
En rezago,20.8583849460455,0.0628088180879354,13,Hidalgo
En rezago,9.5242435683548,0.115674767434685,14,Jalisco
En rezago,13.0016580372379,0.0525623232145324,15,México
En rezago,29.7165068603491,0.0641280780804381,16,Michoacán
En rezago,21.9738135001791,0.0518647958954572,17,Morelos
En rezago,19.3874949830498,0.0757923164809669,18,Nayarit
En rezago,8.29094419533834,0.0962778409161557,19,Nuevo León
En rezago,54.2416875022172,0.0344042035175775,20,Oaxaca
En rezago,24.8227132996608,0.0495042568230689,21,Puebla
En rezago,13.4951614483348,0.0500570874639627,22,Querétaro
En rezago,17.6731262212525,0.0453113468275383,23,Quintana Roo
En rezago,23.3276144052846,0.0636995289928315,24,San Luis Potosí
En rezago,8.40838368897963,0.0880829443330904,25,Sinaloa
En rezago,33.3038418464818,0.0598001302893848,26,Sonora
En rezago,62.3668890681134,0.0252162059085195,27,Tabasco
En rezago,16.4460754689326,0.0630916103527673,28,Tamaulipas
En rezago,11.3794532020738,0.0651803786814513,29,Tlaxcala
En rezago,50.2256349475825,0.0349444281922046,30,Veracruz
En rezago,15.5560812288053,0.0495436580680921,31,Yucatán
En rezago,20.3901844500307,0.0782299820302445,32,Zacatecas
